"","battle","source","Battle_source","strength_US_liv","strength_CS_liv","casualties_US_liv","casualties_CS_liv"
"1","VA005","livermore","BULL RUN",28452,32232,1492,1969
"2","MO004","livermore","WILSON'S CREEK",5400,11600,944,1157
"3","TN002","livermore","FORT DONELSON",27000,21000,2608,2000
"4","VA010","livermore","WILLIAMSBURG",40768,31823,1866,1570
"5","VA022","livermore","CEDAR MOUNTAIN",8030,16868,1759,1338
"6","MD002","livermore","SOUTH MOUNTAIN",28480,17852,1728,1885
"7","MD003","livermore","ANTIETAM",75316,51844,11657,11724
"8","KY009","livermore","PERRYVILLE",36940,16000,3696,3145
"9","VA028","livermore","FREDERICKSBURG",106007,72497,10884,4656
"10","MS003","livermore","CHICKASAW BAYOU AND BLUFF",30720,13792,1213,197
"11","AR006","livermore","ARKANSAS POST",28944,4564,1032,109
"12","VA032","livermore","CHANCELLORSVILLE & FREDERICKSBURG",97382,57352,11169,10746
"13","MS009","livermore","CHAMPION'S HILL",29373,20000,2254,2181
"14","MS011","livermore","VICKSBURG",45556,22301,3052,6240
"15","SC007","livermore","FORT WAGNER",5264,1785,1126,169
"16","TN024","livermore","CHATTANOOGA",56359,46165,5475,2521
"17","VA044","livermore","MINE RUN",69643,44426,1272,680
"18","LA019","livermore","PLEASANT HILL",12647,14300,994,1000
"19","VA046","livermore","WILDERNESS",101895,61025,14283,7750
"20","VA053","livermore","DREWRY'S BLUFF",15800,18025,2770,2860
"21","VA062","livermore","COLD HARBOR",107907,NA,12000,NA
"22","VA063","livermore","PETERSBURG",63797,41499,8150,NA
"23","GA015","livermore","KENESAW MOUNTAIN",16225,17733,1999,270
"24","VA070","livermore","THE MINE",20708,11466,2864,NA
"25","VA071","livermore","DEEP BOTTOM",27974,20008,2180,NA
"26","VA072","livermore","WELDON RAILROAD",20289,14787,1303,1200
"27","VA119","livermore","WINCHESTER (OPEQUAN)",37711,17103,4680,2103
"28","VA075","livermore","CHAFFIN'S FARM AND FORTS HARRISON AND GILMER",19639,10836,2682,NA
"29","VA079","livermore","BOYDTON PLANK ROAD",42823,20324,1194,NA
"30","TN038","livermore","NASHVILLE",49773,23207,2949,NA
"31","VA083","livermore","HATCHER'S RUN",34517,13835,1330,NA
"32","VA086","livermore","DINWIDDIE COURTHOUSE AND WHITE OAK ROAD",45247,20030,2198,NA
"33","VA089","livermore","PETERSBURG II",63299,18576,3814,NA
"34","AR001","livermore","PEA RIDGE",11250,14000,1183,600
"35","TN003","livermore","SHILOH",62682,40335,10162,9735
"36","VA014","livermore","FAIR OAKS",41797,41816,4384,5729
"37","VA016","livermore","MECHANICSVILLE",15631,16356,256,1484
"38","VA017","livermore","GAINES' MILL",34214,57018,4001,8751
"39","KY007","livermore","RICHMOND, KY",6500,6850,1050,450
"40","MS002","livermore","CORINTH",21147,22000,2196,2470
"41","AR005","livermore","PRAIRIE GROVE, ARK",10000,10000,988,981
"42","TN010","livermore","STONE'S RIVER",41400,34732,9220,9239
"43","PA002","livermore","GETTYSBURG",83289,75054,17684,22638
"44","GA004","livermore","CHICKAMAUGA",58222,66326,11413,16986
"45","FL005","livermore","OLUSTEE, FLA",5115,5200,1355,934
"46","MS015","livermore","TUPELO, MISS",14000,6600,636,1326
"47","GA016","livermore","PEACH TREE CREEK",20139,18832,1600,2500
"48","GA017","livermore","ATLANTA",30477,36934,1989,7000
"49","GA018","livermore","EZRA CHURCH (ATLANTA)",13226,18450,559,4100
"50","VA122","livermore","CEDAR CREEK",30829,18410,4074,1860
"51","TN036","livermore","FRANKLIN",27939,26897,1222,5550
"52","NC020","livermore","BENTONVILLE",16127,16895,933,1508
"53","GA022","livermore","Jonesborough",20460,23811,1348,1725
"54","LA010","livermore","PORT HUDSON",13000,4192,3442,282
"55","VA048","livermore","SPOTTSYLVANIA",65785,NA,10120,NA
